time,num_replies,num_likes,num_retweets,tweet_text
2020-02-10T02:38:19.000Z,3.2K,176.3K,23.4K,"Congrats to Julia and Steven, the filmmakers behind American Factory, for telling such a complex, moving story about the very human consequences of wrenching economic change. Glad to see two talented and downright good people take home the Oscar for Higher Ground’s first release."
2020-02-01T20:36:40.000Z,6K,330.2K,49.3K,"Sixty years ago today, the Greensboro Four stood up to injustice by sitting down at a lunch counter. Our journey is full of such stories; of acts of patriotic protest that challenge this country we love to live up to our highest ideals, however long it takes. "
2020-01-26T21:56:16.000Z,17.3K,4.1M,691.8K,Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.
2020-01-20T14:35:29.000Z,5.2K,264.3K,53.4K,"Every so often, I re-read Dr. King’s Letter from a Birmingham Jail. While some of the injustices may have changed, his poetic brilliance, moral clarity, and tests of conscience still reverberate today. Take a moment to reflect on his righteous call:"
2019-12-30T00:33:16.000Z,3K,230.8K,27.3K,If there’s one thing I love about 
2019-12-29T17:03:13.000Z,8K,229.9K,28.6K,"Next up are my favorite movies and TV shows of 2019. Of course, there’s also American Factory, a film from our own production company, Higher Ground, that was recently shortlisted for an Oscar. Here’s the full list:"
2019-12-28T21:16:40.000Z,10.4K,278.6K,45.5K,"As we wind down 2019, I wanted to share with you my annual list of favorites that made the last year a little brighter. We’ll start with books today — movies and music coming soon. I hope you enjoy these as much as I did."
2019-12-25T00:00:22.000Z,33.3K,1M,77.4K,"From the Obama family to yours, Merry Christmas!"
2019-12-23T20:50:19.000Z,4.1K,223.8K,19K,"On behalf of my family, Chag Sameach and Happy Hanukkah! As Jews around the world celebrate, let the menorah’s light remind us all of the miracles in our own lives."
2019-12-19T19:54:31.000Z,4.5K,113K,16.1K,"2019 was full of moments that show humanity at its best—compassionate, entrepreneurial, determined. And yes, hopeful. Take a look to see for yourself."
2019-12-17T18:36:41.000Z,677,8.5K,1.4K,The Obama Foundation
2019-12-17T18:36:41.000Z,677,8.5K,1.4K,The Obama Foundation
2019-12-17T01:15:00.000Z,240,3.2K,973,Get America Covered
2019-11-27T18:19:13.000Z,7.3K,149.1K,28.3K,"Before arguing with friends or family around the Thanksgiving table, take a look at the science behind arguing better. And it'll never hurt to try this: ""Listen to people, get them to think about their own experience, and highlight your common humanity."""
2019-11-24T18:07:38.000Z,1.5K,31.5K,6.9K,"Politicians shouldn’t be picking their voters. Voters should be picking their representatives. But unless we act, the status quo will remain in states all across the country. Let's make sure maps are drawn fairly when redistricting happens again in 2021:"
2019-11-24T18:04:14.000Z,3.1K,88K,20.8K,"Take a look at this piece to understand the very real consequences of gerrymandering. In Asheville, NC, we see what happens when district lines are drawn for maximum partisan advantage: It mean citizens’ voices are diminished. It means more polarization."
2019-11-22T16:08:56.000Z,1.5K,44.3K,4.3K,Young leaders like these are powering the promise of the Asia Pacific region. Michelle and I couldn’t be more impressed by their initiative. Can’t wait to join them in Malaysia next month.
2019-11-18T18:39:05.000Z,1.5K,48.9K,8.4K,Proud to see Oluwaseun 
2019-11-11T14:34:54.000Z,1.8K,44.2K,5.3K,"Stories like this are a reminder of our duty, as a country and as Americans, to support every veteran—not only in words, but in deed. To every veteran out there, thank you. We’re forever in your debt."
2019-11-11T14:34:22.000Z,3.8K,137.3K,19.9K,"This Veterans Day, here’s a moving portrait of the extraordinary resilience of my friend Cory Remsburg, an Army Ranger I’ve come to know over the years. It’s an honest tribute to all those wounded warriors and their families who give so much to our country"
2019-11-08T16:39:31.000Z,2.9K,86.8K,10.4K,No one says it better than 
