time,num_replies,num_likes,num_retweets,tweet_text
2020-02-10T02:47:02.000Z,305,33.7K,3.5K,"Congrats to Julia, Steven, and the whole crew on winning Best Documentary for "
2020-02-09T16:24:14.000Z,586,23.5K,1.7K,I had so much fun with 
2020-02-08T15:31:36.000Z,150,33.1K,2.2K,.
2020-01-31T18:40:45.000Z,232,8.9K,1.1K,"Every day, school counselors inspire kids to dream bigger and reach higher—helping our young people discover their own potential and expand their vision of what’s possible. 

Congrats to this year's "
2019-12-20T14:33:36.000Z,489,17.6K,2.2K,My trip to Vietnam and Malaysia was filled with so many hopeful reminders of the power that lies in education. I hope you’ll take a look and get involved with the 
2019-12-14T17:42:23.000Z,320,12.6K,1.3K,This week I sat down with 
2019-12-13T05:12:56.000Z,5.8K,497.5K,66.9K,.
2019-12-12T02:51:13.000Z,518,13.5K,1.6K,"Julia Roberts, Deborah Henry, and I are about to take the stage at "
2019-12-11T18:54:12.000Z,40,2K,282,Girls Opportunity Alliance
2019-12-11T01:48:36.000Z,2.8K,69.2K,10.8K,"I had so much fun putting a smile on all of these little faces from Randle Highlands Elementary School in Washington, D.C. Thanks to the "
2019-12-10T17:12:50.000Z,6.5K,115.2K,21.6K,Barack Obama
2019-12-10T00:10:19.000Z,707,97.3K,13.9K,#BlackGirlMagic
2019-12-09T15:57:33.000Z,1.2K,26.5K,3.9K,What an incredible day in Vietnam with members of the 
2019-12-04T18:16:34.000Z,789,37.6K,3.4K,It's been a remarkable year since sharing my story with the world and I'm so grateful to all of you for the love and support! 
2019-11-18T03:37:58.000Z,846,96.3K,6.6K,"So proud to present the Portrait of a Nation Prize to my good friend, "
2019-11-11T15:36:39.000Z,800,73.4K,7.6K,"Whenever I'm looking for a source of strength and courage, I think about our veterans and their families—they inspire me every day. On "
2019-11-11T14:34:22.000Z,3.8K,137.3K,19.9K,Barack Obama
2019-11-08T21:50:22.000Z,191,11.7K,1.2K,Chicago will always be home for me and my big brother. I loved sitting down with 
2019-11-08T16:39:31.000Z,2.9K,86.8K,10.4K,Barack Obama
2019-11-08T15:03:22.000Z,91,1.9K,304,O The Oprah Magazine
2019-11-07T16:08:58.000Z,273,25.4K,4.1K,The best person to register voters in your community is you. I've got my 
2019-11-07T14:30:09.000Z,1.3K,60.2K,12.5K,"With less than a year to the 2020 elections, it's time to start thinking about your "
2019-11-05T21:27:34.000Z,69,2.6K,239,Nia Sioux
