time,num_replies,num_likes,num_retweets,tweet_text
2020-02-11T01:22:57.000Z,14.8K,96.2K,24.9K,·
2020-02-11T01:21:22.000Z,3.4K,40.8K,10.8K,THANK YOU NEW HAMPSHIRE!
2020-02-10T20:24:24.000Z,17.6K,88.3K,19.6K,“A lot of people feel defeated...Trump always wins. It seems like nothing can stop him.” Danny Villazon  
2020-02-10T19:59:10.000Z,6K,76.8K,17.8K,Wall Street Journal Editorial: “She (Crazy Nancy) aimed at Trump and hit Uncle Joe.”
2020-02-10T11:47:57.000Z,11.9K,127.2K,26.2K,"95% Approval Rating in the Republican Party, a Record! 53% overall (plus add 9 points?). Corrupt Democrat politicians have brought me to highest polling numbers ever with the Impeachment Hoax. Thank you Nancy!"
2020-02-10T11:28:32.000Z,6.1K,88K,20.7K,"Will be in Manchester, New Hampshire, tonight for a big Rally. Want to shake up the Dems a little bit - they have a really boring deal going on. Still waiting for the Iowa results, votes were fried. Big crowds in Manchester!"
2020-02-10T01:14:19.000Z,5.3K,85.4K,39.9K,Dan Scavino Jr.
2020-02-09T19:56:18.000Z,25K,202.9K,39.2K,"MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!"
2020-02-09T19:54:48.000Z,28.7K,173.5K,36.5K,DRAIN THE SWAMP!
2020-02-09T19:52:34.000Z,16.8K,105.7K,33.4K,"....This is the biggest political crime in American History, by far. SIMPLY PUT, THE PARTY IN POWER ILLEGALLY SPIED ON MY CAMPAIGN, BOTH BEFORE AND AFTER THE ELECTION, IN ORDER TO CHANGE OR NULLIFY THE RESULTS OF THE ELECTION. IT CONTINUED ON WITH THE IMPEACHMENT HOAX. Terrible!"
2020-02-09T19:52:32.000Z,27.3K,183.6K,55.4K,"FBI Director Christopher Wray just admitted that the FISA Warrants and Survailence of my campaign were illegal. So was the Fake Dossier. THEREFORE, THE WHOLE SCAM INVESTIGATION, THE MUELLER REPORT AND EVERYTHING ELSE FOR THREE YEARS, WAS A FIXED HOAX. WHO PAYS THE PRICE?...."
2020-02-10T01:14:19.000Z,5.3K,85.4K,39.9K,Dan Scavino Jr.
2020-02-09T19:38:41.000Z,8.6K,70.8K,17.2K,"So good to see that Republicans will be winning the Great State of Alabama Senate Seat back, now that lightweight Senator "
2020-02-05T21:48:59.000Z,1.7K,24.7K,11.3K,Big League Politics
2020-02-05T19:45:05.000Z,1.4K,24.2K,10.5K,Big League Politics
2020-02-09T16:04:57.000Z,12.2K,80.7K,18K,"They are really mad at Senator Joe Munchkin in West Virginia. He couldn’t understand the Transcripts. Romney could, but didn’t want to!"
2020-02-05T06:38:16.000Z,14.5K,73.8K,25K,Donald Trump Jr.
2020-02-06T02:55:59.000Z,2.9K,46.3K,13.3K,Trump War Room - Text WOKE to 88022
2020-02-06T00:48:33.000Z,1.8K,31.9K,9.3K,Team Trump (#TrumpRallyNH)
2020-02-09T15:58:52.000Z,4.4K,42.5K,11.6K,"Romney hurt some very good Republican Senators, and he was wrong about the Impeachment Hoax. No clue!"
2020-02-09T15:51:20.000Z,3.2K,53K,14.9K,Yes!!!!!
2020-02-06T00:04:43.000Z,3.9K,26.6K,7.6K,The White House
2020-02-04T20:00:05.000Z,669,23.1K,5.9K,Henry Rodgers
2020-02-05T03:33:40.000Z,2K,33.4K,10.3K,Melissa Francis
2020-02-08T01:19:53.000Z,556,17.8K,5.1K,Katrina Pierson
2020-02-08T01:58:52.000Z,186,15.9K,5.1K,Andrew Clark
